,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,counter,name
218182,2008,1,5,6,1129.0,1010,1700.0,1522,UA,1,N215UA,571.0,552.0,525.0,98.0,79.0,ORD,HNL,4243,4.0,42.0,0,,0,79.0,0.0,19.0,0.0,0.0,51439,Chicago O'Hare International Airport
218189,2008,1,12,6,1051.0,1020,1603.0,1536,UA,1,N211UA,552.0,556.0,528.0,27.0,31.0,ORD,HNL,4243,2.0,22.0,0,,0,27.0,0.0,0.0,0.0,0.0,51439,Chicago O'Hare International Airport
218196,2008,1,19,6,1123.0,1020,1555.0,1536,UA,1,N214UA,512.0,556.0,488.0,19.0,63.0,ORD,HNL,4243,3.0,21.0,0,,0,19.0,0.0,0.0,0.0,0.0,51439,Chicago O'Hare International Airport
218203,2008,1,26,6,1024.0,1020,1516.0,1536,UA,1,N214UA,532.0,556.0,509.0,-20.0,4.0,ORD,HNL,4243,3.0,20.0,0,,0,,,,,,51439,Chicago O'Hare International Airport
218213,2008,1,5,6,1721.0,1710,448.0,506,UA,2,N211UA,447.0,476.0,428.0,-18.0,11.0,HNL,ORD,4243,7.0,12.0,0,,0,,,,,,8988,Honolulu International Airport
218220,2008,1,12,6,1729.0,1731,503.0,525,UA,2,N211UA,454.0,474.0,435.0,-22.0,-2.0,HNL,ORD,4243,5.0,14.0,0,,0,,,,,,8988,Honolulu International Airport
218227,2008,1,19,6,1727.0,1731,528.0,525,UA,2,N212UA,481.0,474.0,461.0,3.0,-4.0,HNL,ORD,4243,5.0,15.0,0,,0,,,,,,8988,Honolulu International Airport
218234,2008,1,26,6,1720.0,1731,507.0,525,UA,2,N210UA,467.0,474.0,450.0,-18.0,-11.0,HNL,ORD,4243,5.0,12.0,0,,0,,,,,,8988,Honolulu International Airport
218245,2008,1,12,6,625.0,630,907.0,916,UA,2,N806UA,102.0,106.0,87.0,-9.0,-5.0,ORD,CLT,599,2.0,13.0,0,,0,,,,,,51439,Chicago O'Hare International Airport
218252,2008,1,19,6,647.0,630,930.0,916,UA,2,N818UA,103.0,106.0,88.0,14.0,17.0,ORD,CLT,599,3.0,12.0,0,,0,,,,,,51439,Chicago O'Hare International Airport
218259,2008,1,26,6,625.0,630,907.0,916,UA,2,N838UA,102.0,106.0,80.0,-9.0,-5.0,ORD,CLT,599,4.0,18.0,0,,0,,,,,,51439,Chicago O'Hare International Airport
218269,2008,1,5,6,1802.0,1800,523.0,550,UA,3,N214UA,441.0,470.0,424.0,-27.0,2.0,KOA,ORD,4213,5.0,12.0,0,,0,,,,,,2108,Kona International At Keahole Airport
